RandR_ID,"Article_title, link to abstract, related articles pubmed, etc.",Sentence (search term in bold),Graphic user interface,Lead author and journal,Publication date ASC
a9233054,Biophysical analysis of SARSâ€CoVâ€2 transmission and theranostic development via N protein computational characterization,"Molecular dynamics simulations and machine learning methods are amongst the efficient tools that facilitate the development of theranostics for new pathogens, such as SARS-CoV-2, providing opportuniti",a9233054,"Sabbih, Godfred O.; Korsa....(Biotechnol Prog)",2020.10.29
a9343421,Critical Sequence Hotspots for Binding of Novel Coronavirus to Angiotensin Converter Enzyme as Evaluated by Molecular Simulations,The focus of this article is to elucidate the differences between the interface of SARS-COV and nCOV-2019 with ACE2 to understand with atomic resolution the interaction mechanism and hotspot residues,a9343421,"Ghorbani, Mahdi; Brooks, ....(J Phys Chem B)",2020.10.28
a6672172,â€œFei Yan No. 1â€ as a Combined Treatment for COVID-19: An Efficacy and Potential Mechanistic Study,"Similarly, a molecular docking simulation study of 20 compounds and an additional simulation study using molecular dynamics (MD) found that components of glycyrrhizic acid and glyasperin A displayed h",a6672172,"Ai, Zhongzhu; Zhou, Shans....(Front Pharmacol)",2020.10.08
a9343241,The natural way forward: Molecular dynamics simulation analysis of phytochemicals from Indian medicinal plants as potential inhibitors of SARSâ€CoVâ€2 targets,"Therefore, in the present work, long timescale molecular dynamics simulations and calculation of free energy of binding along with biological pathway enrichment analysis were performed on the phytoche",a9343241,"Parida, Pratap Kumar; Pau....(Phytother Res)",2020.09.24
a6443932,Potential protease inhibitors and their combinations to block SARS-CoV-2,"Of late, MM-PBSA approach is commonly employed to calculate the absolute DG bind when long molecular dynamics simulations are done in association with molecular docking studies, particularly when suff",a6443932,"Abhinand, Chandran S.; Na....(Journal of biomolecular structure & dynamics)",2020.09.14
a12074169,"Protein reliability analysis and virtual screening of natural inhibitors for SARS-CoV-2 main protease (M(pro)) through docking, molecular mechanic & dynamic, and ADMET profiling","Therefore, in order to clarify it, trajectory after 75 ns was clustered, and the binding mode of the most populated cluster with the largest number of interactions was subjected to an additional 100 n",a12074169,"Kapusta, Karina; Kar, Sup....(Journal of biomolecular structure & dynamics)",2020.08.14
a8921900,SARS-CoV-2 nucleocapsid and Nsp3 binding: an in silico study,"However, no experimental or long-term molecular dynamic simulation (MD) was performed to confirm what kind of interaction existed.",a8921900,"Khan, Muhammad Tahir; Zeb....(Arch Microbiol)",2020.08.04
a6423513,Computational Prediction of Mutational Effects on SARS-CoV-2 Binding by Relative Free Energy Calculations,27 Long Time Scale Molecular Dynamics Simulations.,a6423513,"Zou, Junjie; Yin, Jian; F....(J Chem Inf Model)",2020.07.28
a10441802,Designing a multi-epitope vaccine against SARS-CoV-2: an immunoinformatics approach,"The stability of the docked complex was evaluated by a highly intuitive and accurate molecular dynamic simulation tool YASARA, where parameters for macromolecules to facilitate simulations were genera",a10441802,"Samad, Abdus; Ahammad, Fo....(Journal of biomolecular structure & dynamics)",2020.07.17
a9342651,Critical Sequence Hot-spots for Binding of nCOV-2019 to ACE2 as Evaluated by Molecular Simulations,The focus of this article is to elucidate the differences between the interface of SARS-COV and nCOV-2019 with ACE2 to understand with atomic resolution the interaction mechanism and hotspot residues,a9342651,"Ghorbani, Mahdi; Brooks, ....(bioRxiv)",2020.06.27
a10444403,Targeting SARS-COV-2 non-structural protein 16: a virtual drug repurposing study,"In drug repositioning approach, in order to predict the possible therapeutic potency of known drugs against a target the shape-based screening, molecular docking methods, molecular dynamics simulation",a10444403,"Tazikeh-Lemeski, Elham; M....(J Biomol Struct Dyn)",2020.06.23
a7996990,A small molecule drug candidate targeting SARS-CoV-2 main protease,"We started the study by running two highresolution molecular dynamics simulations, each with a duration of 25ns and one longer molecular dynamics simulation with a duration of 250ns.",a7996990,,2020.06.16
a4392469,GEOM: Energy-annotated molecular conformations for property prediction and molecular generation,MD-17 has thoroughly-sampled conformations for a small number of molecules with ab initio wavefunction methods and long molecular dynamics simulations [48] .,a4392469,,2020.06.09
a1733832,Dynamical asymmetry exposes 2019-nCoV prefusion spike,"To overcome this , a structure - based coarse - grained molecular dynamic simulation approach has been adopted ( 15 ) .",a1733832,,2020.04.22
a108816,Exploring Conformational Transition of 2019 Novel Coronavirus Spike Glycoprotein Between Its Closed and Open States Using Molecular Dynamics Simulations,"In the current study , structure and dynamics of the SARS - CoV-2 S protein is investigated via allatom molecular dynamics ( MD ) simulations to provide critical atomic level insight into the conforma",a108816,,2020.04.19
a174648,Distinct Structural Flexibility within SARS-CoV-2 Spike Protein Reveals Potential Therapeutic Targets,"Here , to obtain deeper insights into S protein structure for biological understanding and therapeutic targeting , we employ a combined molecular dynamics ( MD ) simulation and artificial intelligence",a174648,,2020.04.18
a1733836,Structure-based design of hepatitis C virus E2 glycoprotein improves serum binding and cross-neutralization,"This design lies within a supersite of E2 associated with many broadly neutralizing antibodies ( 5 , 6 , 44 , 45 ) , and through biophysical characterization and molecular dynamics simulation experime",a1733836,,2020.04.17
a1800133,Genetic Variability of Human Angiotensin-Converting Enzyme 2 (hACE2) Among Various Ethnic Populations,The structural minimizations and molecular dynamics simulation was performed using the GROMACS 2018.416 - 18 software package .,a1800133,,2020.04.15
a1632133,Immuno-informatics Characterization SARS-CoV-2 Spike Glycoprotein for Prioritization of Epitope based Multivalent Peptide Vaccine,The MD simulation trajectories were visualized and analyzed in Visual Molecular Dynamics ( VMD ),a1632133,,2020.04.12
a1132366,Rapid in silico design of antibodies targeting SARS-CoV-2 using machine learning and supercomputing,"Theory - driven computational methods , such as molecular dynamics simulations , can provide virtually limitless amounts of data for target systems , but still require experimental validation .",a1132366,,2020.04.10
a1631893,ACE2 fragment as a decoy for novel SARS-Cov-2 virus,Using molecular dynamics ( MD ) simulations,a1631893,,2020.04.10
a1928470,On the interactions of the receptor-binding domain of SARS-CoV-1 and SARS-CoV-2 spike proteins with monoclonal antibodies and the receptor ACE2,"In particular , structural and interactive aspects can benefit from the solid foundations that computational molecular simulation methods such as Molecular Dynamics ( MD ) 35 , 36 and Monte Carlo ( MC",a1928470,,2020.04.10
a1733824,Atazanavir inhibits SARS-CoV-2 replication and pro-inflammatory cytokine production,Each scan produced 20 conformations for each ligand with the best score being used for molecular dynamics simulations .,a1733824,,2020.04.05
a3462916,"Structural basis to design multi-epitope vaccines against Novel Coronavirus 19 (COVID19) infection, the ongoing pandemic emergency: an in silico approach",The GalaxyRefine tool refines the query tertiary structure by repeated 519 structure perturbation as well as by utilizing the subsequent structural relaxation 520 by the molecular dynamics simulation,a3462916,,2020.04.03
a1788688,Scrutinizing the SARS-CoV-2 protein information for the designing an effective vaccine encompassing both the T-cell and B-cell epitopes,bioRxiv preprint standard molecular dynamics simulation studies using NAMD suite .,a1788688,,2020.04.01
a1063022,Biophysical characterization of the SARS-CoV2 spike protein binding with the ACE2 receptor explains increased COVID-19 pathogenesis,Finally atomic - level backbone and side chain refinement was performed using fragment - guided molecular dynamics simulations ( FG - MD ) 18 for 50ns for each structure .,a1063022,,2020.03.31
a1155758,Lectin-like Intestinal Defensin Inhibits 2019-nCoV Spike binding to ACE2,"For deeper insights into the ACE2 blocking of HD5 , we carried out a molecular dynamic simulation , in which HD5 was docked onto the LBD of ACE2 .",a1155758,,2020.03.31
a1546413,Modeling of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Proteins by Machine Learning and Physics-Based Refinement,Our latest molecular dynamics simulation - based refinement protocol was applied to the protein models .,a1546413,,2020.03.28
a10771635,Intelligent Resolution: Integrating Cryo-EM with AI-driven Multi-resolution Simulations to Observe the SARS-CoV-2 Replication-Transcription Machinery in Action,"In an eort to bridge the gap between experimental and purely all-atom molecular dynamics (AAMD), we leverage a complementary mesoscale method of representing biophysical systems, treating biomolecules",a10771635,"Trifan, Anda; Gorgun, Def....(bioRxiv)",2021.10.12
a13324731,Computationally driven discovery of SARS-CoV-2 Mpro inhibitors: from design to experimental validation,The same clustering algorithms as described above were used to analyze the adaptive molecular dynamics simulations.,a13324731,,2021.10.11
a10085143,In silico Study of Intrinsic Dynamics of Full-length apo-ACE2 and RBD-ACE2 complex,The conventional and accelerated molecular dynamics (MD) simulations were performed for these systems to generate microsecond-scale trajectories (Table S1 ) [6] .,a10085143,"Liu, Qing; Wang, Yuwei; L....(Comput Struct Biotechnol J)",2021.09.29
a13884775,"Discovery of potential SARS-CoV 3CL protease inhibitors from approved antiviral drugs using: virtual screening, molecular docking, pharmacophore mapping evaluation and dynamics simulation","In this contribution, a combination of three theoretical approaches based on molecular docking, molecular dynamic simulations and ADME Properties were used to explore potential inhibitors among eight",a13884775,"Daoud, Ismail; Mesli, Fou....(J Biomol Struct Dyn)",2021.09.20
a12073159,Molecular Dynamics Simulations Identify Tractable Lead-like Phenyl-Piperazine Scaffolds as eIF4A1 ATP-competitive Inhibitors,Additional docking and molecular dynamics analyses were carried out in the 5ZC9 human eIF4A1 model with RNA to develop binding hypotheses and optimization strategies for the most potent hits.,a12073159,"Essegian, Derek J.; Cunni....(ACS Omega)",2021.09.15
a13535698,Influence of Temperature on Molecular Adsorption and Transport at Liposome Surfaces Studied by Molecular Dynamics Simulations and Second Harmonic Generation Spectroscopy,"Additional molecular dynamics simulations results, liposome characterization measurements, and details on SHG studies of molecular interactions with liposomes and polystyrene microspheres, including f",a13535698,"Hamal, Prakash; Subasingh....(J Phys Chem B)",2021.09.08
a12387666,"Structure-based virtual screening, in silico docking, ADME properties prediction and molecular dynamics studies for the identification of potential inhibitors against SARS-CoV-2 M(pro)","In the current study, structure-based virtual screening, ADME properties filtration and molecular dynamic simulations were carried out against M pro of SARS-CoV-2 to identify the best possible drug/s",a12387666,"Mohan, Anbuselvam; Rendin....(Mol Divers)",2021.09.04
a12106590,Challenges of short substrate analogues as SARS-CoV-2 main protease inhibitors,"Additionally, we carried out molecular dynamics simulations (MDS) in triplicate with 900 ns total simulation time for compound 1 docked to the SARS-CoV-2 M pro dimer.",a12106590,"Ullrich, Sven; Sasi, Vish....(Bioorg Med Chem Lett)",2021.08.19
a12286772,"Exploring Covalent Docking Mechanisms of Boron-Based Inhibitors to Class A, C and D Î²-Lactamases Using Time-dependent Hybrid QM/MM Simulations","In the main thread of this research, the hybrid, quantumclassical molecular mechanics and adiabatic quantum-classical molecular dynamics model were applied.",a12286772,"Charzewski, Åukasz; Krzy....(Front Mol Biosci)",2021.08.09
a12065829,"An overview of the anti-SARS-CoV-2 properties of Artemisia annua, its antiviral action, protein-associated mechanisms, and repurposing for COVID-19 treatment","However, additional molecular dynamics simulation to predict the stability of the bounds showed that artemisinin had the least preferable docking score.",a12065829,"Fuzimoto, AndrÃ©a D.....(J Integr Med)",2021.07.22
a4435176,"13(th) EBSA congress, July 24â€“28, 2021, Vienna, Austria","Here, we report 15 us-long atomistic molecular dynamics (MD) simulations revealing that the Atg3's N-terminus contains an amphipathic helix (AH).",a4435176,,2021.07.10
a12386404,In silico Screening of Natural Phytocompounds Towards Identification of Potential Lead Compounds to Treat COVID-19,"The selected compounds were taken for further assessment using molecular dynamics simulation, ADME/T, and drug likeness properties.",a12386404,"Sankar, Muthumanickam; Ra....(Front Mol Biosci)",2021.07.05
a11405705,"Edging on Mutational Bias, Induced Natural Selection From Host and Natural Reservoirs Predominates Codon Usage Evolution in Hantaan Virus","Moreover, our study opens the door for a more genotype-specific codon usage analysis for all hantaviruses species to reveal their overall molecular evolutionary dynamics and adaptability to several ho",a11405705,"Ata, Galal; Wang, Hao; Ba....(Front Microbiol)",2021.07.02
a10304740,In Silico Approach Using Free Software to Optimize the Antiproliferative Activity and Predict the Potential Mechanism of Action of Pyrrolizine-Based Schiff Bases,"Accordingly, six molecular dynamic experi-",a10304740,"Almalki, Faisal A.; Abdal....(Molecules)",2021.06.30
a13616038,Immunoinformatics and molecular dynamics approaches: Next generation vaccine design against West Nile virus,"Additionally, the molecular dynamics simulation was carried out for 10ns long.",a13616038,"Khan, Md Tahsin; Islam, R....(PLoS One)",2021.06.17
a11824826,Molecular Docking and Dynamics Simulation Revealed the Potential Inhibitory Activity of ACEIs Against SARS-CoV-2 Targeting the hACE2 Receptor,"Keywords: COVID-19, molecular docking, molecular dynamics, ACEIs, hACE2",a11824826,"Al-Karmalawy, Ahmed A.; D....(Front Chem)",2021.05.04
a11495981,Thiol-Mediated Uptake,Different E/B values for different inhibitors supported that different uptake pathways exist for thiol-mediated uptake and that not only reactivity but also molecular recognition of and within adaptiv,a11495981,"Laurent, Quentin; Martine....(JACS Au)",2021.05.03
a4437219,Molecular interactions of the M and E integral membrane proteins of SARS-CoV-2,"We present the results of long all-atom molecular dynamics (MD) simulations to study molecular interactions in a complex membrane model, built to mimic the cell organelle where viral assembly takes pl",a4437219,"Monje-Galvan, Viviana; Vo....(bioRxiv)",2021.04.29
a13319588,Structural dynamics of the Î²-coronavirus Mpro protease ligand binding sites,"We then carry out 25 Âµs of adaptive molecular dynamics (MD) simulations on the apo M pro structure of SARS-CoV2, SARS-COV and MERS-CoV and explore the conformational dynamics of the M pro enzymes usi",a13319588,"Cho, Eunice; Rosa, Margar....(bioRxiv)",2021.04.09
a10936659,"In silico evaluation of potential inhibitory activity of remdesivir, favipiravir, ribavirin and galidesivir active forms on SARS-CoV-2 RNA polymerase","In this study, molecular docking studies of the prodrugs mentioned above and all their metabolites and molecular dynamics studies of active triphosphate metabolites were carried out.",a10936659,"Celik, Ismail; Erol, Mery....(Mol Divers)",2021.03.25
a10819665,Machine Learning Force Fields,A good starting point to assemble the reference data set is by sampling the PES using ab initio molecular dynamics (AIMD) simulations.,a10819665,"Unke, Oliver T.; Chmiela,....(Chem Rev)",2021.03.11
a11905170,"Repurposing potential of Ayurvedic medicinal plants derived active principles against SARS-CoV-2 associated target proteins revealed by molecular docking, molecular dynamics and MM-PBSA studies","In addition, we validated molecular docking and molecular dynamic findings using a Bayesian machine learning models using ECFP6 fingerprints and interestingly, prediction score (Pm) and applicability",a11905170,"Kumar Verma, Akalesh; Kum....(Biomed Pharmacother)",2021.02.03
a11530300,Molecular Docking Reveals Ivermectin and Remdesivir as Potential Repurposed Drugs Against SARS-CoV-2,AAA performed the molecular dynamics simulation.,a11530300,"Eweas, Ahmad F.; Alhossar....(Front Microbiol)",2021.01.25
a11589380,Structure-based peptide design targeting intrinsically disordered proteins: Novel histone H4 and H2A peptidic inhibitors,"Abbreviations: aMD, accelerated molecular dynamics; ARDS, acute respiratory distress syndrome; BFE, binding free energy; BRCA-1, breast cancer type1 susceptibility protein; CCL5, chemokine ligand 5; C",a11589380,"Wichapong, Kanin; Silvest....(Comput Struct Biotechnol J)",2021.01.21
a10414760,A comparative survey of Betacoronavirus binding dynamics relevant to the functional evolution of the highly transmissible SARS-CoV-2 variant N501Y,"Here, we present a systematic approach to the comparative statistical analysis and machine learning classification of the dynamic motions of proteins generated from accelerated all-atom molecular dyna",a10414760,"Rynkiewicz, Patrick; Babb....(bioRxiv)",2021.01.18
a10433420,A Novel Design of Multi-epitope Vaccine Against Helicobacter pylori by Immunoinformatics Approach,But the more accurate interactions need further validation of molecular dynamics simulations.,a10433420,"Ma, Junfei; Qiu, Jingxuan....(Int J Pept Res Ther)",2021.01.02
a11228537,"Multitarget in silico studies of Ocimum menthiifolium, family Lamiaceae against SARS-CoV-2 supported by molecular dynamics simulation","Molecular dynamics simulations were performed using GROMACS 2020.2 molecular dynamics package (Abraham et al., 2015) .",a11228537,"Albohy, Amgad; Zahran, Em....(Journal of biomolecular structure & dynamics)",2020.12.15
a4505313,Conformational diversity of CDR region during affinity maturation determines the affinity and stability of Sars-Cov-1 VHH-72 nanobody,To further find out region of lower stability we performed molecular dynamics at 500K to study the partial unfolding of the nanobody.,a4505313,"George, Suji....(bioRxiv)",2020.12.09
a10459389,"Molecular docking, molecular dynamics, and in vitro studies reveal the potential of angiotensin II receptor blockers to inhibit the COVID-19 main protease","So, further computationally expensive but additional accurate molecular dynamic simulation techniques might improve a better complementary with docking.",a10459389,"Alnajjar, Radwan; Mostafa....(Heliyon)",2020.12.03
a11228307,"Repurposing FDA-approved phytomedicines, natural products, antivirals and cell protectives against SARS-CoV-2 (COVID-19) RNA-dependent RNA polymerase","Groningen Machine for Chemical Simulations (GROMACS) 5.1.4. software was used in all molecular dynamics (MD) simulations (Abraham et al., 2015; Van Der Spoel et al., 2005) .",a11228307,"Kandeel, Mahmoud; Kitade,....(PeerJ)",2020.11.30
a11229548,In silico evaluation of flavonoids as effective antiviral agents on the spike glycoprotein of SARS-CoV-2,"There are several force fields that govern the molecular dynamics such as AMBER and CHARMM (Abraham et al., 2015) .",a11229548,"Jain, Anisha S.; Sushma, ....(Saudi J Biol Sci)",2020.11.17
a13616040,Potential approaches to combat COVID-19: a mini-review,Encounters among these epitopes and their respective class I MHC molecules had been additionally explored through molecular dynamic simulations and discovered that epitopes of CTL attach to peptide-bi,a13616040,"Sarwar, Zainab; Ahmad, Ta....(Mol Biol Rep)",2020.11.13
a11666153,A computational study to disclose potential drugs and vaccine ensemble for COVID-19 conundrum,"Further, we employed widely accepted and more accurate molecular dynamics simulation and binding free energies methods to validate the good affinity of the drug molecules and vaccine ensemble [68] [69",a11666153,"Ahmad, Sajjad; Waheed, Ya....(J Mol Liq)",2020.11.10
a10884273,"Molecular Insights into Human Transmembrane Protease Serine-2 (TMPS2) Inhibitors against SARS-CoV2: Homology Modelling, Molecular Dynamics, and Docking Studies","Molecular dynamics simulations were performed, and the active site conserved amino acids were selected as a docking site for camostat, nafamostat, gabexate, and sivelestat.",a10884273,"Kishk, Safaa M.; Kishk, R....(Molecules)",2020.10.29
a12576577,Chloroquine and hydroxychloroquine for combating COVID-19: Investigating efficacy and hypothesizing new formulations using Bio/chemoinformatics tools,"The successful construction of the gelatin matrix using the adopted molecular dynamics method was obtained after following the same protocols of the authors previous studies Hathout et al., 2020) .",a12576577,"Hathout, Rania M.; Abdelh....(Inform Med Unlocked)",2020.10.08
a10816628,From protein and its hydration water dynamics to controlling mechano-elasticity of cellular lipid membranes and cell migration via ionic liquids.,"In doing so I will comment on my research activity on polymers, proteins, natural bioprotectants, phospholipid bilayers, amyloids and cells, which I have carried out by combining several different exp",a10816628,"Benedetto, Antonio....(Biophysical reviews)",2020.09.17
a12074169,"Protein reliability analysis and virtual screening of natural inhibitors for SARS-CoV-2 main protease (M(pro)) through docking, molecular mechanic & dynamic, and ADMET profiling","Therefore, in order to clarify it, trajectory after 75 ns was clustered, and the binding mode of the most populated cluster with the largest number of interactions was subjected to an additional 100 n",a12074169,"Kapusta, Karina; Kar, Sup....(Journal of biomolecular structure & dynamics)",2020.08.14
a10015211,"Magnetic field fluctuations in anisotropic, supersonic turbulence","First, in Â§2 we derive a compressible quasi-static model for the fluctuations of the magnetic field from the induction equation, which is relevant for understanding how the magnetic anisotropy influe",a10015211,,2020.07.28
a10441802,Designing a multi-epitope vaccine against SARS-CoV-2: an immunoinformatics approach,"The stability of the docked complex was evaluated by a highly intuitive and accurate molecular dynamic simulation tool YASARA, where parameters for macromolecules to facilitate simulations were genera",a10441802,"Samad, Abdus; Ahammad, Fo....(Journal of biomolecular structure & dynamics)",2020.07.17
a10805611,Heat and charge transport in H2O at ice-giant conditions from ab initio molecular dynamics simulations.,"The thermal and electric conductivities of different phases of water (liquid, solid, and super-ionic) occurring in the interior of ice giant planets, such as Uranus or Neptune, are evaluated from equi",a10805611,"Grasselli, Federico; Stix....(Nature communications)",2020.07.17
a10444403,Targeting SARS-COV-2 non-structural protein 16: a virtual drug repurposing study,"In drug repositioning approach, in order to predict the possible therapeutic potency of known drugs against a target the shape-based screening, molecular docking methods, molecular dynamics simulation",a10444403,"Tazikeh-Lemeski, Elham; M....(J Biomol Struct Dyn)",2020.06.23
a4392469,GEOM: Energy-annotated molecular conformations for property prediction and molecular generation,MD-17 has thoroughly-sampled conformations for a small number of molecules with ab initio wavefunction methods and long molecular dynamics simulations [48] .,a4392469,,2020.06.09
a11080695,Testing Research Software: A Case Study,The ParSplice code is a management layer that orchestrates a large number of calculations and does not perform the actual molecular dynamics itself.,a11080695,"Eisty, Nasir U.; Perez, D....(Computational Science - ICCS 2020)",2020.05.25
a13894106,A molecular modeling approach to identify effective antiviral phytochemicals against the main protease of SARS-CoV-2,"In summary, molecular docking, molecular dynamics, QSAR modeling, PCA, and ADMET tools are successfully employed to determine the best phytochemicals against the main protease of SARS-CoV-2.",a13894106,"Islam, Rajib; Parves, Md.....(J Biomol Struct Dyn)",2020.05.12
a1733832,Dynamical asymmetry exposes 2019-nCoV prefusion spike,"To overcome this , a structure - based coarse - grained molecular dynamic simulation approach has been adopted ( 15 ) .",a1733832,,2020.04.22
a108816,Exploring Conformational Transition of 2019 Novel Coronavirus Spike Glycoprotein Between Its Closed and Open States Using Molecular Dynamics Simulations,"In the current study , structure and dynamics of the SARS - CoV-2 S protein is investigated via allatom molecular dynamics ( MD ) simulations to provide critical atomic level insight into the conforma",a108816,,2020.04.19
a174648,Distinct Structural Flexibility within SARS-CoV-2 Spike Protein Reveals Potential Therapeutic Targets,"Here , to obtain deeper insights into S protein structure for biological understanding and therapeutic targeting , we employ a combined molecular dynamics ( MD ) simulation and artificial intelligence",a174648,,2020.04.18
a1733836,Structure-based design of hepatitis C virus E2 glycoprotein improves serum binding and cross-neutralization,"This design lies within a supersite of E2 associated with many broadly neutralizing antibodies ( 5 , 6 , 44 , 45 ) , and through biophysical characterization and molecular dynamics simulation experime",a1733836,,2020.04.17
a1799980,Genetic Variability of Human Angiotensin-Converting Enzyme 2 (hACE2) Among Various Ethnic Populations,"bbn1tfq5_13 . Molecular dynamics ( MD ) simulation which is a canonical method for investigating the influences of mutant on protein structure , was then applied .",a1799980,,2020.04.15
a1632133,Immuno-informatics Characterization SARS-CoV-2 Spike Glycoprotein for Prioritization of Epitope based Multivalent Peptide Vaccine,The MD simulation trajectories were visualized and analyzed in Visual Molecular Dynamics ( VMD ),a1632133,,2020.04.12
a1052281,Rapid in silico design of antibodies targeting SARS-CoV-2 using machine learning and supercomputing,"MM / GBSA calculates antibody / antigen interaction free energies using fully solvated molecular dynamics ( MD ) for conformational sampling of the protein complex , but estimates free energy by a com",a1052281,,2020.04.10
a1182299,Role of RNA Guanine Quadruplexes in Favoring the Dimerization of SARS Unique Domain in Coronaviruses,"In this letter , we report an extended all - atom molecular dynamics ( MD ) study of the interactions produced between a dimeric SUD domain and a short RNA G4 sequence .",a1182299,,2020.04.10
a1631893,ACE2 fragment as a decoy for novel SARS-Cov-2 virus,Using molecular dynamics ( MD ) simulations,a1631893,,2020.04.10
a1928470,On the interactions of the receptor-binding domain of SARS-CoV-1 and SARS-CoV-2 spike proteins with monoclonal antibodies and the receptor ACE2,"In particular , structural and interactive aspects can benefit from the solid foundations that computational molecular simulation methods such as Molecular Dynamics ( MD ) 35 , 36 and Monte Carlo ( MC",a1928470,,2020.04.10
a10771635,Intelligent Resolution: Integrating Cryo-EM with AI-driven Multi-resolution Simulations to Observe the SARS-CoV-2 Replication-Transcription Machinery in Action,"In an eort to bridge the gap between experimental and purely all-atom molecular dynamics (AAMD), we leverage a complementary mesoscale method of representing biophysical systems, treating biomolecules",a10771635,"Trifan, Anda; Gorgun, Def....(bioRxiv)",2021.10.12
a13324731,Computationally driven discovery of SARS-CoV-2 Mpro inhibitors: from design to experimental validation,The same clustering algorithms as described above were used to analyze the adaptive molecular dynamics simulations.,a13324731,,2021.10.11
a10085143,In silico Study of Intrinsic Dynamics of Full-length apo-ACE2 and RBD-ACE2 complex,The conventional and accelerated molecular dynamics (MD) simulations were performed for these systems to generate microsecond-scale trajectories (Table S1 ) [6] .,a10085143,"Liu, Qing; Wang, Yuwei; L....(Comput Struct Biotechnol J)",2021.09.29
a13884775,"Discovery of potential SARS-CoV 3CL protease inhibitors from approved antiviral drugs using: virtual screening, molecular docking, pharmacophore mapping evaluation and dynamics simulation","In this contribution, a combination of three theoretical approaches based on molecular docking, molecular dynamic simulations and ADME Properties were used to explore potential inhibitors among eight",a13884775,"Daoud, Ismail; Mesli, Fou....(J Biomol Struct Dyn)",2021.09.20
a12073159,Molecular Dynamics Simulations Identify Tractable Lead-like Phenyl-Piperazine Scaffolds as eIF4A1 ATP-competitive Inhibitors,Additional docking and molecular dynamics analyses were carried out in the 5ZC9 human eIF4A1 model with RNA to develop binding hypotheses and optimization strategies for the most potent hits.,a12073159,"Essegian, Derek J.; Cunni....(ACS Omega)",2021.09.15
a13535698,Influence of Temperature on Molecular Adsorption and Transport at Liposome Surfaces Studied by Molecular Dynamics Simulations and Second Harmonic Generation Spectroscopy,"Additional molecular dynamics simulations results, liposome characterization measurements, and details on SHG studies of molecular interactions with liposomes and polystyrene microspheres, including f",a13535698,"Hamal, Prakash; Subasingh....(J Phys Chem B)",2021.09.08
a12387666,"Structure-based virtual screening, in silico docking, ADME properties prediction and molecular dynamics studies for the identification of potential inhibitors against SARS-CoV-2 M(pro)","In the current study, structure-based virtual screening, ADME properties filtration and molecular dynamic simulations were carried out against M pro of SARS-CoV-2 to identify the best possible drug/s",a12387666,"Mohan, Anbuselvam; Rendin....(Mol Divers)",2021.09.04
a12106590,Challenges of short substrate analogues as SARS-CoV-2 main protease inhibitors,"Additionally, we carried out molecular dynamics simulations (MDS) in triplicate with 900 ns total simulation time for compound 1 docked to the SARS-CoV-2 M pro dimer.",a12106590,"Ullrich, Sven; Sasi, Vish....(Bioorg Med Chem Lett)",2021.08.19
a12286772,"Exploring Covalent Docking Mechanisms of Boron-Based Inhibitors to Class A, C and D Î²-Lactamases Using Time-dependent Hybrid QM/MM Simulations","In the main thread of this research, the hybrid, quantumclassical molecular mechanics and adiabatic quantum-classical molecular dynamics model were applied.",a12286772,"Charzewski, Åukasz; Krzy....(Front Mol Biosci)",2021.08.09
a12065829,"An overview of the anti-SARS-CoV-2 properties of Artemisia annua, its antiviral action, protein-associated mechanisms, and repurposing for COVID-19 treatment","However, additional molecular dynamics simulation to predict the stability of the bounds showed that artemisinin had the least preferable docking score.",a12065829,"Fuzimoto, AndrÃ©a D.....(J Integr Med)",2021.07.22
a4435176,"13(th) EBSA congress, July 24â€“28, 2021, Vienna, Austria","Here, we report 15 us-long atomistic molecular dynamics (MD) simulations revealing that the Atg3's N-terminus contains an amphipathic helix (AH).",a4435176,,2021.07.10
a12386404,In silico Screening of Natural Phytocompounds Towards Identification of Potential Lead Compounds to Treat COVID-19,"The selected compounds were taken for further assessment using molecular dynamics simulation, ADME/T, and drug likeness properties.",a12386404,"Sankar, Muthumanickam; Ra....(Front Mol Biosci)",2021.07.05
a11405705,"Edging on Mutational Bias, Induced Natural Selection From Host and Natural Reservoirs Predominates Codon Usage Evolution in Hantaan Virus","Moreover, our study opens the door for a more genotype-specific codon usage analysis for all hantaviruses species to reveal their overall molecular evolutionary dynamics and adaptability to several ho",a11405705,"Ata, Galal; Wang, Hao; Ba....(Front Microbiol)",2021.07.02
a10304740,In Silico Approach Using Free Software to Optimize the Antiproliferative Activity and Predict the Potential Mechanism of Action of Pyrrolizine-Based Schiff Bases,"Accordingly, six molecular dynamic experi-",a10304740,"Almalki, Faisal A.; Abdal....(Molecules)",2021.06.30
a13616038,Immunoinformatics and molecular dynamics approaches: Next generation vaccine design against West Nile virus,"Additionally, the molecular dynamics simulation was carried out for 10ns long.",a13616038,"Khan, Md Tahsin; Islam, R....(PLoS One)",2021.06.17
a11824826,Molecular Docking and Dynamics Simulation Revealed the Potential Inhibitory Activity of ACEIs Against SARS-CoV-2 Targeting the hACE2 Receptor,"Keywords: COVID-19, molecular docking, molecular dynamics, ACEIs, hACE2",a11824826,"Al-Karmalawy, Ahmed A.; D....(Front Chem)",2021.05.04
